Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls
327-1058,112.0,0.0,166.0,79.0,28.22,74.6,100.0,6.34,247.9,74.0,9.1,6.3,7.0,1.7,0.0
327-1319,22.0,23.0,182.1,94.0,30.96,164.6,59.0,13.99,128.8,102.0,5.8,12.7,4.0,3.43,3.0
327-3053,87.0,0.0,110.9,91.0,18.85,158.5,115.0,13.47,207.5,131.0,9.34,6.2,5.0,1.67,1.0
327-3587,103.0,36.0,87.2,92.0,14.82,169.3,110.0,14.39,166.7,80.0,7.5,10.9,5.0,2.94,6.0
327-3850,91.0,0.0,149.0,115.0,25.33,245.3,105.0,20.85,260.0,94.0,11.7,8.3,3.0,2.24,0.0
327-3954,99.0,0.0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,8.59,8.7,3.0,2.35,4.0
327-4795,119.0,0.0,230.4,117.0,39.17,225.0,101.0,19.13,198.5,101.0,8.93,7.6,6.0,2.05,3.0
327-5525,61.0,16.0,143.5,76.0,24.4,242.6,58.0,20.62,147.7,95.0,6.65,11.3,3.0,3.05,0.0
327-5817,98.0,29.0,179.9,97.0,30.58,189.2,89.0,16.08,164.3,76.0,7.39,12.8,7.0,3.46,3.0
327-6087,107.0,0.0,146.9,94.0,24.97,114.3,100.0,9.72,114.5,97.0,5.15,11.4,5.0,3.08,3.0
327-6179,53.0,0.0,168.8,97.0,28.7,220.3,87.0,18.73,154.3,113.0,6.94,10.9,2.0,2.94,0.0
327-6194,85.0,0.0,212.3,107.0,36.09,228.4,103.0,19.41,163.3,116.0,7.35,7.7,3.0,2.08,0.0
327-6764,105.0,0.0,162.3,99.0,27.59,212.5,95.0,18.06,214.7,114.0,9.66,10.9,8.0,3.0,4.0
327-6989,75.0,42.0,248.9,93.0,42.31,170.8,108.0,14.52,104.5,91.0,4.7,11.2,8.0,3.02,1.0
327-8495,41.0,0.0,232.1,74.0,39.46,327.1,88.0,27.8,226.5,119.0,10.19,10.9,2.0,2.94,3.0
327-8732,100.0,27.0,221.7,100.0,37.69,236.1,70.0,20.07,192.7,91.0,8.67,8.0,4.0,2.16,0.0
327-9289,52.0,31.0,142.1,77.0,24.16,193.0,97.0,16.41,253.4,88.0,11.4,11.0,4.0,2.97,1.0
327-9341,122.0,34.0,146.4,104.0,24.89,89.7,103.0,7.62,220.0,91.0,9.9,15.6,4.0,4.21,2.0
327-9957,80.0,0.0,51.5,90.0,8.76,164.0,98.0,13.94,169.4,80.0,7.62,9.5,4.0,2.57,3.0
328-1206,155.0,23.0,243.9,112.0,41.46,133.0,106.0,11.31,213.7,123.0,9.62,13.4,11.0,3.62,2.0
328-1222,118.0,0.0,235.3,60.0,32.1,217.4,64.0,18.48,220.1,100.0,9.9,8.2,7.0,2.21,4.0
328-1373,48.0,0.0,149.2,146.0,25.36,161.9,109.0,13.76,197.9,109.0,8.91,8.3,2.0,2.24,3.0
328-1522,73.0,0.0,175.4,130.0,29.82,248.1,105.0,21.09,122.4,85.0,5.51,12.2,4.0,3.29,0.0
328-1768,93.0,20.0,187.5,110.0,31.88,169.8,94.0,14.43,175.3,127.0,7.89,12.1,4.0,3.27,1.0
328-2110,137.0,0.0,144.0,90.0,24.48,181.6,100.0,15.44,128.1,93.0,5.76,12.3,2.0,3.32,0.0
328-2236,97.0,0.0,112.7,119.0,19.16,217.7,109.0,18.5,152.1,76.0,6.84,6.5,5.0,1.76,1.0
