Phone Number,Churn,Account Length,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,VMail Message,CustServ Calls,total_mins,total_calls,avg_mins_per_call,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,intl_call_rate,intl_charge_per_min,vmail_usage_rate,calls_per_day,peak_period_share,usage_time_std,dominant_usage_period,total_charge,charge_per_min
327-1058,0,112,166.0,79,28.22,74.6,100,6.34,247.9,74,9.1,6.3,7,1.7,0,0,488.5,253,1.9308,0.3398,0.1527,0.5075,0.0129,0.0277,0.2698,0.0,2.2589,0.5075,86.6934,Night,45.36,0.0929
327-1319,0,22,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,23,3,475.5,255,1.8647,0.383,0.3462,0.2709,0.0267,0.0157,0.2701,0.0902,11.5909,0.383,27.1685,Day,54.18,0.1139
327-3053,0,87,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,0,1,476.9,337,1.4151,0.2325,0.3324,0.4351,0.013,0.0148,0.2694,0.0,3.8736,0.4351,48.3017,Night,43.33,0.0909
327-3587,1,103,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,36,6,423.2,282,1.5007,0.206,0.4,0.3939,0.0258,0.0177,0.2697,0.1277,2.7379,0.4,46.668,Evening,39.65,0.0937
327-3850,0,91,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,0,654.3,314,2.0838,0.2277,0.3749,0.3974,0.0127,0.0096,0.2699,0.0,3.4505,0.3974,60.292,Night,60.12,0.0919
327-3954,0,99,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,0,4,596.4,276,2.1609,0.3323,0.3476,0.3201,0.0146,0.0109,0.2701,0.0,2.7879,0.3476,8.2164,Evening,62.25,0.1044
327-4795,0,119,230.4,117,39.17,225.0,101,19.13,198.5,101,8.93,7.6,6,2.05,0,3,653.9,319,2.0498,0.3523,0.3441,0.3036,0.0116,0.0188,0.2697,0.0,2.6807,0.3523,17.0735,Day,69.28,0.1059
327-5525,0,61,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,16,0,533.8,229,2.331,0.2688,0.4545,0.2767,0.0212,0.0131,0.2699,0.0699,3.7541,0.4545,56.0423,Evening,54.72,0.1025
327-5817,0,98,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,29,3,533.4,262,2.0359,0.3373,0.3547,0.308,0.024,0.0267,0.2703,0.1107,2.6735,0.3547,12.5821,Evening,57.51,0.1078
327-6087,0,107,146.9,94,24.97,114.3,100,9.72,114.5,97,5.15,11.4,5,3.08,0,3,375.7,291,1.2911,0.391,0.3042,0.3048,0.0303,0.0172,0.2702,0.0,2.7196,0.391,18.7642,Day,42.92,0.1142
327-6179,0,53,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0,543.4,297,1.8296,0.3106,0.4054,0.284,0.0201,0.0067,0.2697,0.0,5.6038,0.4054,34.6855,Evening,57.31,0.1055
327-6194,0,85,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0,604.0,326,1.8528,0.3515,0.3781,0.2704,0.0127,0.0092,0.2701,0.0,3.8353,0.3781,33.9073,Evening,64.93,0.1075
327-6764,0,105,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,10.9,8,3.0,0,4,589.5,308,1.914,0.2753,0.3605,0.3642,0.0185,0.026,0.2752,0.0,2.9333,0.3642,29.6385,Night,58.31,0.0989
327-6989,0,75,248.9,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,42,1,524.2,292,1.7952,0.4748,0.3258,0.1994,0.0214,0.0274,0.2696,0.1438,3.8933,0.4748,72.2803,Day,64.55,0.1231
327-8495,1,41,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,0,3,785.7,281,2.7961,0.2954,0.4163,0.2883,0.0139,0.0071,0.2697,0.0,6.8537,0.4163,56.5342,Evening,80.39,0.1023
327-8732,0,100,221.7,100,37.69,236.1,70,20.07,192.7,91,8.67,8.0,4,2.16,27,0,650.5,261,2.4923,0.3408,0.363,0.2962,0.0123,0.0153,0.27,0.1034,2.61,0.363,22.1055,Evening,68.59,0.1054
327-9289,0,52,142.1,77,24.16,193.0,97,16.41,253.4,88,11.4,11.0,4,2.97,31,1,588.5,262,2.2462,0.2415,0.328,0.4306,0.0187,0.0153,0.27,0.1183,5.0385,0.4306,55.7175,Night,54.94,0.0934
327-9341,0,122,146.4,104,24.89,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,34,2,456.1,298,1.5305,0.321,0.1967,0.4824,0.0342,0.0134,0.2699,0.1141,2.4426,0.4824,65.3324,Night,46.62,0.1022
327-9957,0,80,51.5,90,8.76,164.0,98,13.94,169.4,80,7.62,9.5,4,2.57,0,3,384.9,268,1.4362,0.1338,0.4261,0.4401,0.0247,0.0149,0.2705,0.0,3.35,0.4401,66.5655,Night,32.89,0.0855
328-1206,0,155,243.9,112,41.46,133.0,106,11.31,213.7,123,9.62,13.4,11,3.62,23,2,590.6,341,1.732,0.413,0.2252,0.3618,0.0227,0.0323,0.2701,0.0674,2.2,0.413,57.3343,Day,66.01,0.1118
328-1222,0,118,235.3,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,0,4,672.8,224,3.0036,0.3497,0.3231,0.3271,0.0122,0.0312,0.2695,0.0,1.8983,0.3497,9.65,Day,62.69,0.0932
328-1373,0,48,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,0,3,509.0,364,1.3984,0.2931,0.3181,0.3888,0.0163,0.0055,0.2699,0.0,7.5833,0.3888,25.2619,Night,50.27,0.0988
328-1522,0,73,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0,545.9,320,1.7059,0.3213,0.4545,0.2242,0.0223,0.0125,0.2697,0.0,4.3836,0.4545,63.1068,Evening,59.71,0.1094
328-1768,0,93,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,20,1,532.6,331,1.6091,0.352,0.3188,0.3291,0.0227,0.0121,0.2702,0.0604,3.5591,0.352,9.0589,Day,57.47,0.1079
328-2110,0,137,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,0,453.7,283,1.6032,0.3174,0.4003,0.2823,0.0271,0.0071,0.2699,0.0,2.0657,0.4003,27.4737,Evening,49.0,0.108
328-2236,0,97,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,0,1,482.5,304,1.5872,0.2336,0.4512,0.3152,0.0135,0.0164,0.2708,0.0,3.134,0.4512,53.042,Evening,46.26,0.0959
328-2478,0,116,229.3,93,38.98,184.5,100,15.68,168.2,91,7.57,8.8,3,2.38,0,2,582.0,284,2.0493,0.394,0.317,0.289,0.0151,0.0106,0.2705,0.0,2.4483,0.394,31.6384,Day,64.61,0.111
328-2647,0,81,203.5,89,34.6,289.6,69,24.62,212.9,71,9.58,8.7,3,2.35,0,3,706.0,229,3.083,0.2882,0.4102,0.3016,0.0123,0.0131,0.2701,0.0,2.8272,0.4102,47.2307,Evening,71.15,0.1008
328-2982,0,95,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,0,480.1,290,1.6555,0.1446,0.3974,0.458,0.0185,0.0172,0.2697,0.0,3.0526,0.458,79.828,Night,40.32,0.084
328-3266,0,97,239.8,125,40.77,214.8,100,18.26,143.3,81,6.45,8.7,5,2.35,0,2,597.9,306,1.9539,0.4011,0.3593,0.2397,0.0146,0.0163,0.2701,0.0,3.1546,0.4011,50.0824,Day,67.83,0.1134
328-3402,0,125,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,0,2,607.4,346,1.7555,0.3154,0.3385,0.3461,0.0151,0.0087,0.2696,0.0,2.768,0.3461,9.6878,Night,61.99,0.1021
328-4231,0,60,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,31,2,660.1,272,2.4268,0.2906,0.4057,0.3037,0.0194,0.011,0.2703,0.114,4.5333,0.4057,41.5952,Evening,67.85,0.1028
328-5050,0,58,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,0,2,655.4,333,1.9682,0.3709,0.3531,0.276,0.0119,0.012,0.2705,0.0,5.7414,0.3709,33.0555,Day,71.25,0.1087
328-5188,1,117,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10.0,3,2.7,0,1,700.2,288,2.4313,0.4105,0.3708,0.2188,0.0143,0.0104,0.27,0.0,2.4615,0.4105,70.8325,Day,80.52,0.115
328-6011,1,94,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2.0,2,0.54,0,1,747.9,333,2.2459,0.3134,0.3734,0.3131,0.0027,0.006,0.27,0.0,3.5426,0.3734,25.981,Evening,74.67,0.0998
328-6289,0,139,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,23,0,663.8,337,1.9697,0.2374,0.3721,0.3905,0.0206,0.0059,0.2701,0.0682,2.4245,0.3905,55.4734,Night,63.15,0.0951
328-6770,0,93,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,0,510.3,285,1.7905,0.2967,0.3653,0.338,0.0214,0.0105,0.2697,0.0,3.0645,0.3653,17.623,Evening,52.28,0.1024
328-7209,0,149,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,9,3.86,20,1,663.6,241,2.7535,0.2997,0.4129,0.2874,0.0215,0.0373,0.2699,0.083,1.6174,0.4129,45.9096,Evening,69.54,0.1048
328-7252,0,77,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,3.05,0,3,680.2,274,2.4825,0.2733,0.3117,0.415,0.0166,0.0146,0.2699,0.0,3.5584,0.415,49.8602,Night,65.37,0.0961
328-7833,1,98,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,0,5,464.6,321,1.4474,0.4888,0.2594,0.2518,0.0101,0.0125,0.2702,0.0,3.2755,0.4888,62.5804,Day,55.39,0.1192
328-8147,0,120,153.5,84,26.1,194.0,73,16.49,256.5,94,11.54,10.2,7,2.75,27,5,604.0,251,2.4064,0.2541,0.3212,0.4247,0.0169,0.0279,0.2696,0.1076,2.0917,0.4247,51.8901,Night,56.88,0.0942
328-8179,0,90,156.7,51,26.64,236.5,118,20.1,123.2,101,5.54,12.6,6,3.4,27,2,516.4,270,1.9126,0.3034,0.458,0.2386,0.0244,0.0222,0.2698,0.1,3.0,0.458,58.2054,Evening,55.68,0.1078
328-8230,0,28,180.8,109,30.74,251.6,58,24.55,191.9,91,8.64,14.1,6,3.81,0,2,624.3,258,2.4198,0.2896,0.403,0.3074,0.0226,0.0233,0.2702,0.0,9.2143,0.403,38.0787,Evening,67.74,0.1085
328-8747,0,162,135.2,98,22.98,242.0,107,20.57,246.9,96,9.1,10.2,2,2.75,0,2,624.1,301,2.0734,0.2166,0.3878,0.3956,0.0163,0.0066,0.2696,0.0,1.858,0.3956,63.1231,Night,55.4,0.0888
328-8808,0,109,137.0,128,23.29,217.0,116,18.45,182.1,86,8.19,10.0,5,2.7,0,2,536.1,330,1.6245,0.2555,0.4048,0.3397,0.0187,0.0152,0.27,0.0,3.0275,0.4048,40.1082,Evening,52.63,0.0982
328-8980,1,37,239.9,120,40.78,261.6,88,23.23,207.1,88,9.32,8.9,4,2.4,0,2,708.6,296,2.3939,0.3386,0.3692,0.2923,0.0126,0.0135,0.2697,0.0,8.0,0.3692,27.4377,Evening,75.73,0.1069
328-9006,0,78,139.2,140,23.66,191.4,113,16.27,286.5,125,12.89,11.8,3,3.19,0,3,617.1,378,1.6325,0.2256,0.3102,0.4643,0.0191,0.0079,0.2703,0.0,4.8462,0.4643,74.6839,Night,56.01,0.0908
328-9267,1,97,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,32,2,551.5,307,1.7964,0.1632,0.501,0.3358,0.0156,0.0195,0.2698,0.1042,3.1649,0.501,93.1575,Evening,49.44,0.0896
328-9315,0,109,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,35,5,766.0,315,2.4317,0.3009,0.347,0.3521,0.0138,0.019,0.2698,0.1111,2.8899,0.3521,21.5945,Night,76.78,0.1002
328-9797,1,63,261.8,69,44.51,245.0,135,20.83,202.1,94,9.09,14.7,4,3.97,0,0,708.9,298,2.3789,0.3693,0.3456,0.2851,0.0207,0.0134,0.2701,0.0,4.7302,0.3693,30.7862,Day,78.4,0.1106
328-9869,0,194,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,0,568.1,287,1.9794,0.2857,0.3762,0.3381,0.0192,0.007,0.2697,0.0,1.4794,0.3762,25.8088,Evening,57.33,0.1009
329-1410,0,87,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,30,0,633.4,332,1.9078,0.4149,0.3407,0.2444,0.0123,0.006,0.2705,0.0904,3.8161,0.4149,54.151,Day,72.1,0.1138
